
https://d.kstore.dev/download/14687/%E5%85%8D%E8%B4%B9%E5%88%86%E4%BA%AB.txt



央视频道,#genre#
凤凰香港,http://stream-ali1.csslcloud.net/live/uEACKo2YT4ZTiHBMNM2g49d00j924NASwca4Glm436hsAvKE1L.flv
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰资讯,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
TVB翡翠,http://iptv.4666888.xyz/iptvGO.php?id=4#http://bxtv.3a.ink/api.php?id=fct 
TVB无线新闻,http://bxtv.3a.ink/api.php?id=wxxw
千禧经典,http://bxtv.3a.ink/api.php?id=qxjd
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
 
TVB翡翠(新加坡),http://stream-ali1.csslcloud.net/live/bNUJfDlj5xtSJFSf660kDlGGlm43aNX0tUks0kHM00gDkHukNW.flv
TVB翡翠(马来),http://stream-ali1.csslcloud.net/live/QbsxHsZLNj2ktYGlm43ZTZUHJTlZVjSZpxY5sl6vOrZ3E7ZGep.flv 
TVB无线新闻,http://live3.jiatianxiazhuangshi.com/live/iUJnBYKU9riuj2Jlibsdwb5m69FKfoGlm43gNC09xXfFvAn4GP.flv
TVB明珠(英),http://live.dktq4q.com/live/5dfaaad1320ba55423e5b51d01a32337.flv
TVB娱乐新闻,http://stream-ali1.csslcloud.net/live/SE7CQoYzqeFgE2XWIdGn5xhydKz9KCZQE8eqDZKvGlm430LemY.flv
TVB生活,http://live.dktq4q.com/live/4e3bebad6dd6249c1fb921fe8128ffdb.flv
TVBJ1,http://iptv.4666888.xyz/iptvGO.php?id=27
凤凰资讯,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
凤凰中文,http://220.169.109.72:802/udp/239.76.253.135:9000$湖南/怀化/电信
凤凰资讯,http://220.169.109.72:802/udp/239.76.253.134:9000$湖南/怀化/电信
凤凰中文,http://123.174.106.183:8888/udp/239.1.1.126:8126$山西电信
凤凰资讯,http://123.174.106.183:8888/udp/239.1.1.127:8127$山西电信
凤凰中文,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass$襄阳联通
凤凰资讯,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass$襄阳联通

凤凰中文,http://iptv.4666888.xyz/iptvGO.php?id=1
凤凰资讯,http://iptv.4666888.xyz/iptvGO.php?id=2
凤凰香港,http://iptv.4666888.xyz/iptvGO.php?id=3
TVB翡翠,http://iptv.4666888.xyz/iptvGO.php?id=4
MYTV_SUPER黄金翡翠,http://iptv.4666888.xyz/iptvGO.php?id=5
TVB无线新闻,http://iptv.4666888.xyz/iptvGO.php?id=6
TVB娱乐新闻,http://iptv.4666888.xyz/iptvGO.php?id=7
TVB明珠,http://iptv.4666888.xyz/iptvGO.php?id=8
TVB生活,http://iptv.4666888.xyz/iptvGO.php?id=9
TVB_Plus,http://iptv.4666888.xyz/iptvGO.php?id=10
MYTV_SUPER经典,http://iptv.4666888.xyz/iptvGO.php?id=11
MYTV_SUPER亚洲剧,http://iptv.4666888.xyz/iptvGO.php?id=12
MYTV_SUPER粤语片,http://iptv.4666888.xyz/iptvGO.php?id=13
MYTV_SUPER戏曲,http://iptv.4666888.xyz/iptvGO.php?id=14
MYTV_SUPER少儿,http://iptv.4666888.xyz/iptvGO.php?id=15
MYTV_SUPER_FREE,http://iptv.4666888.xyz/iptvGO.php?id=16
MYTV_SUPER黄金华剧,http://iptv.4666888.xyz/iptvGO.php?id=17
TVB星河(粤),http://iptv.4666888.xyz/iptvGO.php?id=18
TVB星河(国),http://iptv.4666888.xyz/iptvGO.php?id=19
TVB武侠(粤),http://iptv.4666888.xyz/iptvGO.php?id=20
TVB武侠(国),http://iptv.4666888.xyz/iptvGO.php?id=21
TVB1,http://iptv.4666888.xyz/iptvGO.php?id=22
TVBE,http://iptv.4666888.xyz/iptvGO.php?id=23
TVB明珠(英),http://iptv.4666888.xyz/iptvGO.php?id=24
TVB明珠(英),http://iptv.4666888.xyz/iptvGO.php?id=25
TVB无线新闻,http://iptv.4666888.xyz/iptvGO.php?id=26
TVBJ1,http://iptv.4666888.xyz/iptvGO.php?id=27
有线18赛马,http://iptv.4666888.xyz/iptvGO.php?id=52
无线18赛马,http://iptv.4666888.xyz/iptvGO.php?id=55
TVB经典,http://iptv.4666888.xyz/iptvGO.php?id=56
华丽翡翠,http://iptv.4666888.xyz/iptvGO.php?id=57
TVB-Sports,http://iptv.4666888.xyz/iptvGO.php?id=58
TVB-劇場,http://iptv.4666888.xyz/iptvGO.php?id=59
TVB-煲劇,http://iptv.4666888.xyz/iptvGO.php?id=60
TVB-獎門人,http://iptv.4666888.xyz/iptvGO.php?id=61
TVB-話當年,http://iptv.4666888.xyz/iptvGO.php?id=62
