http://txt.kesug.com/users/HKTV.txt
HKTV,#genre#
靖天育乐,http://iptv.4666888.xyz/iptv.php?id=20301
靖天资讯,http://iptv.4666888.xyz/iptv.php?id=20302
华艺综合,http://iptv.4666888.xyz/iptv.php?id=20223
亚洲美食,http://iptv.4666888.xyz/iptv.php?id=20270
美食星球,http://iptv.4666888.xyz/iptv.php?id=20271
亚洲旅游,http://iptv.4666888.xyz/iptv.php?id=20273
TLC-旅游,http://iptv.4666888.xyz/iptv.php?id=20272
博斯网球,http://iptv.4666888.xyz/iptv.php?id=20267
博斯无限,http://iptv.4666888.xyz/iptv.php?id=20268
博斯运动,http://iptv.4666888.xyz/iptv.php?id=20263
博斯运动,http://iptv.4666888.xyz/iptv.php?id=20264
博斯高球,http://iptv.4666888.xyz/iptv.php?id=20266
博斯高球,http://iptv.4666888.xyz/iptv.php?id=20265
WW,http://iptv.4666888.xyz/iptv.php?id=20269
智林体育,http://iptv.4666888.xyz/iptv.php?id=20224
ELta体育,http://iptv.4666888.xyz/iptv.php?id=20232
ELta体育,http://iptv.4666888.xyz/iptv.php?id=20233
ELta,http://iptv.4666888.xyz/iptv.php?id=20234
ELta,http://iptv.4666888.xyz/iptv.php?id=20235
ELta,http://iptv.4666888.xyz/iptv.php?id=20230
ELta,http://iptv.4666888.xyz/iptv.php?id=20231
ELta,http://iptv.4666888.xyz/iptv.php?id=20303
CN,http://iptv.4666888.xyz/iptv.php?id=20262
阿里郎,http://iptv.4666888.xyz/iptv.php?id=20274
thrill,http://iptv.4666888.xyz/iptv.php?id=20259
BBC,http://iptv.4666888.xyz/iptv.php?id=20279
BBC,http://iptv.4666888.xyz/iptv.php?id=20280
美亚电影,http://iptv.4666888.xyz/iptv.php?id=20239
好莱电影,http://iptv.4666888.xyz/iptv.php?id=20248
CINemax,http://iptv.4666888.xyz/iptv.php?id=20256
HBO,http://iptv.4666888.xyz/iptv.php?id=20249
HBO,http://iptv.4666888.xyz/iptv.php?id=20250
HBO,http://iptv.4666888.xyz/iptv.php?id=20251
HBO,http://iptv.4666888.xyz/iptv.php?id=20252
HBO,http://iptv.4666888.xyz/iptv.php?id=20253
MTV,http://iptv.4666888.xyz/iptv.php?id=20276
astro_QJ,http://iptv.4666888.xyz/iptv.php?id=20238
