http://be.is-best.net/i/8/5611948.txt
IPTV上海,#genre#
乐游,http://home.amucn.net:8800/udp/239.49.0.35:8272
法治天地,http://home.amucn.net:8800/udp/239.49.0.36:8280
游戏风云,http://home.amucn.net:8800/udp/239.49.0.40:8312
生活时尚,http://home.amucn.net:8800/udp/239.49.0.46:8360
CCTV1,http://home.amucn.net:8800/udp/239.49.8.129:6000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.207:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.1:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.0.158:8000
CCTV1,http://home.amucn.net:8800/udp/239.49.1.1:6000
CCTV1,http://home.amucn.net:8800/udp/239.49.8.19:9614
CCTV1,http://home.amucn.net:8800/udp/239.49.8.61:9346
CCTV2,http://home.amucn.net:8800/udp/239.49.8.130:6000
CCTV2,http://home.amucn.net:8800/udp/239.49.1.2:6000
CCTV2,http://home.amucn.net:8800/udp/239.49.8.50:9802
CCTV3,http://home.amucn.net:8800/udp/239.49.8.74:8000
CCTV3,http://home.amucn.net:8800/udp/239.49.0.28:8000
CCTV4,http://home.amucn.net:8800/udp/239.49.8.131:6000
CCTV4,http://home.amucn.net:8800/udp/239.49.1.4:6000
CCTV4,http://home.amucn.net:8800/udp/239.49.8.51:9806
CCTV4K,http://home.amucn.net:8800/udp/239.49.0.82:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.8.75:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.0.29:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.0.206:8000
CCTV5,http://home.amucn.net:8800/udp/239.49.1.5:6000
CCTV5+,http://home.amucn.net:8800/udp/239.49.8.18:9610
CCTV6,http://home.amucn.net:8800/udp/239.49.8.76:8000
CCTV6,http://home.amucn.net:8800/udp/239.49.0.73:8000
CCTV6,http://home.amucn.net:8800/udp/239.49.1.6:6000
CCTV7,http://home.amucn.net:8800/udp/239.49.0.126:8000
CCTV7,http://home.amucn.net:8800/udp/239.49.8.126:8000
CCTV7,http://home.amucn.net:8800/udp/239.49.1.254:6000
CCTV8,http://home.amucn.net:8800/udp/239.49.8.77:8000
CCTV8,http://home.amucn.net:8800/udp/239.49.0.79:8000
CCTV8,http://home.amucn.net:8800/udp/239.49.1.8:6000
CCTV9,http://home.amucn.net:8800/udp/239.49.8.53:9814
CCTV10,http://home.amucn.net:8800/udp/239.49.8.134:6000
CCTV10,http://home.amucn.net:8800/udp/239.49.8.54:9818
CCTV10,http://home.amucn.net:8800/udp/239.49.1.10:6000
CCTV10,http://home.amucn.net:8800/udp/239.49.0.10:8072
CCTV11,http://home.amucn.net:8800/udp/239.49.0.127:8000
CCTV11,http://home.amucn.net:8800/udp/239.49.1.11:6000
CCTV11,http://home.amucn.net:8800/udp/239.49.0.11:8080
CCTV12,http://home.amucn.net:8800/udp/239.49.8.135:6000
CCTV12,http://home.amucn.net:8800/udp/239.49.8.55:9822
CCTV12,http://home.amucn.net:8800/udp/239.49.1.12:6000
CCTV12,http://home.amucn.net:8800/udp/239.49.0.12:8088
CCTV13,http://home.amucn.net:8800/udp/239.49.8.109:8000
CCTV13,http://home.amucn.net:8800/udp/239.49.0.41:8320
CCTV13,http://home.amucn.net:8800/udp/239.49.0.196:8000
CCTV13,http://home.amucn.net:8800/udp/239.49.1.13:6000
