🇨🇳央视IPTV,#genre#
CCTV2,http://222.135.142.75:3283/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路54
CCTV2,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路55
CCTV2,http://123.149.43.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路56
CCTV2,http://125.42.149.193:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路57
CCTV2,http://106.115.27.148:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路58
CCTV2,http://106.115.27.32:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路59
CCTV2,http://121.19.134.123:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路60
CCTV2,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路61
CCTV2,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8$线路62
CCTV2,http://123.160.153.186:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路63
CCTV2,http://123.159.126.196:9901/tsfile/live/0002_1.m3u8?key=txiptv$线路64
CCTV2,http://163.142.186.49:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$线路65
CCTV2,http://163.142.186.56:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$线路66
CCTV2,http://163.142.186.48:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$线路67
CCTV2,http://163.142.186.48:9901/tsfile/live/1002_1.m3u8$线路68
CCTV2,http://101.74.29.26:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路69
CCTV2,http://106.115.24.120:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路70
CCTV2,http://106.115.24.120:9901/tsfile/live/1001_1.m3u8?key=txiptv$线路71
CCTV2,http://qjrhc.jydjd.top:2911/udp/224.1.100.192:11111$线路72
CCTV2,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111$线路73
CCTV2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111$线路74
CCTV2,http://101.74.28.66:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路75
CCTV2,http://115.48.160.227:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路76
CCTV2,http://101.74.31.41:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路77
CCTV2,http://112.132.10.54:9901/tsfile/live/0002_1.m3u8?key=txiptv$线路78
CCTV2,http://106.115.25.109:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路79
CCTV2,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路80
CCTV2,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8$线路81
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路82
CCTV2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8$线路83
CCTV2,http://171.213.243.174:11111/rtp/239.93.1.23:6000$线路84
CCTV2,http://113.15.109.216:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路85
CCTV2,http://112.234.23.227:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路86
CCTV2,http://101.74.29.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路87
CCTV2,http://101.74.28.209:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路88
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路89
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$线路90
CCTV2,http://125.42.151.219:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路91
CCTV2,http://218.104.239.114:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路92
CCTV2,http://218.104.239.114:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com$线路93
CCTV2,http://221.2.148.205:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路94
CCTV2,http://221.199.193.180:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路95
CCTV2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路96
CCTV2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路97
CCTV2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8$线路98
CCTV2,http://101.66.198.186:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路99
CCTV2,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路100
CCTV2,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv$线路101
CCTV2,http://110.80.17.38:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路102
CCTV2,http://27.15.4.255:9901/tsfile/live/0002_1.m3u8?key=txiptv$线路103
CCTV2,http://117.141.162.238:8181/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&authid=0$线路104
CCTV2,http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路105
CCTV2,http://60.8.75.178:9002/hls/2/index.m3u8$线路106
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8$线路107
CCTV2,http://60.26.12.121:9901/tsfile/live/16009_1.m3u8?key=txiptv$线路108
CCTV2,http://b.402089.xyz:4022/udp/233.50.200.100:5140$线路109
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路110
